"","year","week","full_date","weeklysm","sd","smAverage","smAnomaly"
"559",2000,28,2000-07-14,46.6608630952381,4.67710967208947,39.7011089852608,6.95975410997733
"560",2016,28,2016-07-14,39.3738095238095,4.67710967208947,39.7011089852608,-0.327299461451268
"561",2006,28,2006-07-15,39.1885714285714,4.67710967208947,39.7011089852608,-0.512537556689367
"562",2014,28,2014-07-15,47.379880952381,4.67710967208947,39.7011089852608,7.67877196712023
"563",2007,28,2007-07-15,41.5986607142857,4.67710967208947,39.7011089852608,1.89755172902493
"564",2010,28,2010-07-15,38.1530952380952,4.67710967208947,39.7011089852608,-1.54801374716557
"565",2003,28,2003-07-15,35.578125,4.67710967208947,39.7011089852608,-4.12298398526077
"566",2015,28,2015-07-15,38.6843452380952,4.67710967208947,39.7011089852608,-1.01676374716557
"567",2008,28,2008-07-14,36.9186904761905,4.67710967208947,39.7011089852608,-2.78241850907027
"568",2001,28,2001-07-15,42.186994047619,4.67710967208947,39.7011089852608,2.48588506235824
"569",2004,28,2004-07-14,39.7173511904762,4.67710967208947,39.7011089852608,0.0162422052154341
"570",2005,28,2005-07-15,42.1108630952381,4.67710967208947,39.7011089852608,2.40975410997734
"571",2020,28,2020-07-14,29.7736755952381,4.67710967208947,39.7011089852608,-9.92743339002267
"572",2019,28,2019-07-15,33.642619047619,4.67710967208947,39.7011089852608,-6.05848993764177
"573",2013,28,2013-07-15,40.9637797619048,4.67710967208947,39.7011089852608,1.26267077664404
"574",2018,28,2018-07-15,29.8815773809524,4.67710967208947,39.7011089852608,-9.81953160430837
"575",2017,28,2017-07-15,42.0469345238095,4.67710967208947,39.7011089852608,2.34582553854873
"576",2011,28,2011-07-15,40.8684226190476,4.67710967208947,39.7011089852608,1.16731363378683
"577",2002,28,2002-07-15,40.0370833333333,4.67710967208947,39.7011089852608,0.335974348072533
"578",2007,29,2007-07-22,41.0752976190476,5.07081476034497,39.3816935941043,1.69360402494331
"579",2016,29,2016-07-21,39.0655952380952,5.07081476034497,39.3816935941043,-0.316098356009093
"580",2002,29,2002-07-22,43.4707142857143,5.07081476034497,39.3816935941043,4.08902069161001
"581",2014,29,2014-07-22,45.3591369047619,5.07081476034497,39.3816935941043,5.97744331065761
"582",2008,29,2008-07-21,36.4171428571429,5.07081476034497,39.3816935941043,-2.96455073696139
"583",2001,29,2001-07-22,45.6324107142857,5.07081476034497,39.3816935941043,6.25071712018141
"584",2000,29,2000-07-21,46.5739880952381,5.07081476034497,39.3816935941043,7.19229450113381
"585",2019,29,2019-07-22,34.930744047619,5.07081476034497,39.3816935941043,-4.45094954648529
"586",2020,29,2020-07-21,27.940744047619,5.07081476034497,39.3816935941043,-11.4409495464853
"587",2012,29,2012-07-21,46.3470833333333,5.07081476034497,39.3816935941043,6.96538973922901
"588",2005,29,2005-07-22,39.4398214285714,5.07081476034497,39.3816935941043,0.0581278344671077
"589",2015,29,2015-07-22,39.5966964285714,5.07081476034497,39.3816935941043,0.215002834467107
"590",2017,29,2017-07-22,39.4754761904762,5.07081476034497,39.3816935941043,0.0937825963719092
"591",2010,29,2010-07-22,37.2761904761905,5.07081476034497,39.3816935941043,-2.10550311791379
"592",2009,29,2009-07-22,43.83125,5.07081476034497,39.3816935941043,4.44955640589571
"593",2006,29,2006-07-22,37.333869047619,5.07081476034497,39.3816935941043,-2.04782454648529
"594",2004,29,2004-07-21,40.52625,5.07081476034497,39.3816935941043,1.14455640589571
"595",2018,29,2018-07-22,29.4891071428571,5.07081476034497,39.3816935941043,-9.89258645124719
"596",2013,29,2013-07-22,39.499375,5.07081476034497,39.3816935941043,0.117681405895709
"597",2003,29,2003-07-22,33.7274107142857,5.07081476034497,39.3816935941043,-5.65428287981859
"598",2011,29,2011-07-22,40.0072619047619,5.07081476034497,39.3816935941043,0.625568310657606
"599",2009,30,2009-07-29,45.6070833333333,5.76522862615407,39.394570861678,6.2125124716553
"600",2015,30,2015-07-29,39.3906845238095,5.76522862615407,39.394570861678,-0.00388633786850079
"601",2016,30,2016-07-28,41.1443154761905,5.76522862615407,39.394570861678,1.7497446145125
"602",2000,30,2000-07-28,46.1044047619048,5.76522862615407,39.394570861678,6.7098339002268
"603",2003,30,2003-07-29,33.3063095238095,5.76522862615407,39.394570861678,-6.0882613378685
"604",2014,30,2014-07-29,44.6218154761905,5.76522862615407,39.394570861678,5.2272446145125
"605",2007,30,2007-07-29,44.5691071428571,5.76522862615407,39.394570861678,5.1745362811791
"606",2012,30,2012-07-28,45.1516964285714,5.76522862615407,39.394570861678,5.7571255668934
"607",2006,30,2006-07-29,35.9834523809524,5.76522862615407,39.394570861678,-3.4111184807256
"608",2002,30,2002-07-29,42.2500595238095,5.76522862615407,39.394570861678,2.8554886621315
"609",2008,30,2008-07-28,35.9324702380952,5.76522862615407,39.394570861678,-3.4621006235828
"610",2010,30,2010-07-29,36.7313095238095,5.76522862615407,39.394570861678,-2.6632613378685
"611",2004,30,2004-07-28,44.0122321428571,5.76522862615407,39.394570861678,4.6176612811791
"612",2005,30,2005-07-29,38.0405952380952,5.76522862615407,39.394570861678,-1.3539756235828
"613",2020,30,2020-07-28,26.6834880952381,5.76522862615407,39.394570861678,-12.7110827664399
"614",2001,30,2001-07-29,43.4892857142857,5.76522862615407,39.394570861678,4.0947148526077
"615",2013,30,2013-07-29,41.620119047619,5.76522862615407,39.394570861678,2.225548185941
"616",2011,30,2011-07-29,36.0713690476191,5.76522862615407,39.394570861678,-3.3232018140589
"617",2018,30,2018-07-29,29.3571130952381,5.76522862615407,39.394570861678,-10.0374577664399
"618",2019,30,2019-07-29,31.7021428571429,5.76522862615407,39.394570861678,-7.6924280045351
"619",2017,30,2017-07-29,45.5169345238095,5.76522862615407,39.394570861678,6.12236366213151
"620",2001,31,2001-08-05,40.6146130952381,5.53172873133642,38.0264212018141,2.58819189342404
"621",2009,31,2009-08-05,43.2127083333333,5.53172873133642,38.0264212018141,5.18628713151924
"622",2002,31,2002-08-05,39.401130952381,5.53172873133642,38.0264212018141,1.37470975056694
"623",2007,31,2007-08-05,45.086994047619,5.53172873133642,38.0264212018141,7.06057284580494
"624",2016,31,2016-08-04,38.0783630952381,5.53172873133642,38.0264212018141,0.0519418934240434
"625",2012,31,2012-08-04,42.8932142857143,5.53172873133642,38.0264212018141,4.86679308390024
"626",2000,31,2000-08-04,45.3408035714286,5.53172873133642,38.0264212018141,7.31438236961454
"627",2014,31,2014-08-05,45.934494047619,5.53172873133642,38.0264212018141,7.90807284580494
"628",2008,31,2008-08-04,35.2495535714286,5.53172873133642,38.0264212018141,-2.77686763038546
"629",2010,31,2010-08-05,36.4510416666667,5.53172873133642,38.0264212018141,-1.57537953514736
"630",2005,31,2005-08-05,36.7180357142857,5.53172873133642,38.0264212018141,-1.30838548752836
"631",2015,31,2015-08-05,37.4179166666667,5.53172873133642,38.0264212018141,-0.608504535147361
"632",2019,31,2019-08-05,29.1534821428571,5.53172873133642,38.0264212018141,-8.87293905895696
"633",2020,31,2020-08-04,27.2226130952381,5.53172873133642,38.0264212018141,-10.803808106576
"634",2003,31,2003-08-05,32.5046428571429,5.53172873133642,38.0264212018141,-5.52177834467116
"635",2006,31,2006-08-05,36.7721428571429,5.53172873133642,38.0264212018141,-1.25427834467116
"636",2017,31,2017-08-05,43.5068154761905,5.53172873133642,38.0264212018141,5.48039427437644
"637",2018,31,2018-08-05,28.1529761904762,5.53172873133642,38.0264212018141,-9.87344501133786
"638",2013,31,2013-08-05,39.2740476190476,5.53172873133642,38.0264212018141,1.24762641723354
"639",2004,31,2004-08-04,40.7807738095238,5.53172873133642,38.0264212018141,2.75435260770974
"640",2011,31,2011-08-05,34.7884821428571,5.53172873133642,38.0264212018141,-3.23793905895696
"641",2009,32,2009-08-12,40.4362797619048,5.22511589622538,37.1925971964543,3.24368256545046
"642",2014,32,2014-08-12,45.0686309523809,5.22511589622538,37.1925971964543,7.87603375592656
"643",2016,32,2016-08-11,37.2287797619048,5.22511589622538,37.1925971964543,0.0361825654504671
"644",2000,32,2000-08-11,44.5941964285714,5.22511589622538,37.1925971964543,7.40159923211706
"645",2015,32,2015-08-12,36.1246428571429,5.22511589622538,37.1925971964543,-1.06795433931143
"646",2008,32,2008-08-11,34.9880654761905,5.22511589622538,37.1925971964543,-2.20453172026384
"647",2007,32,2007-08-12,44.9761607142857,5.22511589622538,37.1925971964543,7.78356351783136
"648",2010,32,2010-08-12,36.3477976190476,5.22511589622538,37.1925971964543,-0.844799577406739
"649",2003,32,2003-08-12,31.781130952381,5.22511589622538,37.1925971964543,-5.41146624407333
"650",2002,32,2002-08-12,38.4436607142857,5.22511589622538,37.1925971964543,1.25106351783136
"651",2020,32,2020-08-11,27.4503333333333,5.22511589622538,37.1925971964543,-9.74226386312104
"652",2001,32,2001-08-12,39.9357196969697,5.22511589622538,37.1925971964543,2.74312250051536
"653",2012,32,2012-08-11,41.6589880952381,5.22511589622538,37.1925971964543,4.46639089878376
"654",2005,32,2005-08-12,35.2666369047619,5.22511589622538,37.1925971964543,-1.92596029169243
"655",2018,32,2018-08-12,27.409880952381,5.22511589622538,37.1925971964543,-9.78271624407334
"656",2019,32,2019-08-12,29.1536904761905,5.22511589622538,37.1925971964543,-8.03890672026384
"657",2004,32,2004-08-11,37.480744047619,5.22511589622538,37.1925971964543,0.288146851164662
"658",2006,32,2006-08-12,37.3430059523809,5.22511589622538,37.1925971964543,0.150408755926563
"659",2017,32,2017-08-12,42.3644642857143,5.22511589622538,37.1925971964543,5.17186708925996
"660",2013,32,2013-08-12,38.2716071428571,5.22511589622538,37.1925971964543,1.07900994640276
"661",2011,32,2011-08-12,34.720125,5.22511589622538,37.1925971964543,-2.47247219645433
"662",2015,33,2015-08-19,36.146875,5.31396924465939,36.9489983630952,-0.802123363095227
