"","day","mod_gpp","mod_gpp_unc95","mod_lai","mod_lai_unc95","mod_nee","mod_nee_unc95","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc","date"
"122",854,2.73114698520603,2.77016389521247,1.43606285825653,1.46991016790796,-0.142549061454184,-0.0319211677661071,126,2002,2.936611724,1.285056761,NA,-9999,1.56323,0.61731678,2002-05-03
"123",861,6.00395575930419,6.20595096706311,2.13780859873874,2.23390856782721,-2.46774746557665,-2.36356426294603,133,2002,6.800601405,1.422836585,NA,-9999,0.06745917,0.72856744,2002-05-10
"124",868,8.51354534483049,8.68655162599615,2.78669941447108,2.95674417669881,-4.42273547119144,-4.327821832076,140,2002,9.230493394,1.252510883,NA,-9999,-2.089887412,0.654857244,2002-05-17
"125",875,8.32908843427471,8.62314844229628,3.27606371205744,3.48578506506814,-4.3128992426821,-4.13829073935019,147,2002,9.572327273,1.487895349,NA,-9999,-3.516774343,0.698529922,2002-05-24
"126",882,11.2077938504004,11.4612630329435,3.63465607605575,3.85112720043403,-6.61016145756251,-6.42522423127835,154,2002,11.76980544,1.582938859,NA,-9999,-5.746280796,0.769885703,2002-05-31
"127",889,8.46833923752222,8.68272737168145,3.9385522335687,4.15876402295156,-4.30734084145593,-4.16135138727377,161,2002,10.55804703,1.187186221,NA,-9999,-3.983233704,0.63551127,2002-06-07
"128",896,9.8438205516671,10.0779701914525,4.20314851677804,4.42762123674046,-5.3385446995323,-5.17641315229549,168,2002,12.86571265,1.590780655,NA,-9999,-7.580126341,0.715394705,2002-06-14
"129",903,10.7540008884278,10.9816571650854,4.42561431870571,4.65340775976665,-5.90546598996857,-5.71939412465269,175,2002,13.5863658,1.383537121,NA,-9999,-8.715233622,0.69432058,2002-06-21
"130",910,12.4086700011525,12.6416672736364,4.62677045523995,4.85647083210522,-7.45091561414898,-7.25881968454048,182,2002,13.92698506,1.172989602,NA,-9999,-9.815218268,0.635641805,2002-06-28
"131",917,10.9653531991821,11.1965275355166,4.81030128569622,5.0395000500332,-6.26908974484503,-6.09788512223822,189,2002,13.04151704,1.14527294,NA,-9999,-8.563289737,0.612261302,2002-07-05
"132",924,10.8760291938878,11.0600242883232,4.94114154217872,5.16957858433052,-6.09065648013609,-5.94537011069866,196,2002,13.40923427,1.454406511,6.43,1.3,-8.51014118,0.744056318,2002-07-12
"133",931,8.67390029127638,8.83286576891327,5.02348577770161,5.25782265028916,-4.53112415150049,-4.41373547015352,203,2002,9.017389248,1.28205658,NA,-9999,-5.140535216,0.637634167,2002-07-19
"134",938,10.757731573092,11.0038270254024,5.03974525895589,5.28431305012982,-6.01860136449268,-5.86986804797783,210,2002,11.76457734,1.426468356,3.14,2.37,-7.268560391,0.706620972,2002-07-26
"135",945,10.8521370210579,11.0698510049461,5.03540460733827,5.29292639884876,-5.92584883462878,-5.73487676977138,217,2002,13.05059777,1.339861036,5.7,1.45,-7.889247684,0.724791132,2002-08-02
"136",952,8.21123254948808,8.39121572328186,4.98539454195326,5.25757375070175,-4.06868231624034,-3.92412230923079,224,2002,13.11984194,1.433960598,0.6,0.25,-6.748768936,0.803690783,2002-08-09
"137",959,10.7269156330598,10.9766955694732,4.85560030158704,5.13708424673777,-5.82918237973302,-5.62224582452926,231,2002,12.69383936,1.486018082,5,1.01,-7.625255027,0.744753346,2002-08-16
