"","date","year","month","week","doy","gpp_z_scores","temp_z_scores","sm1_z_scores","sm2_z_scores","sm3_z_scores","vpd_z_scores","swr_z_scores"
"426","2017-03-08",2017,"Mar",10,70,1.03545911987374,0.306917980043023,0.124901001212414,0.866831994826375,1.19738395960141,0.468094688622491,-0.388814553793188
"427","2017-03-15",2017,"Mar",11,77,1.61145917365754,0.802125156753331,-0.556676232588453,0.644023788835116,1.06354042576686,1.5541463329718,1.22002332588652
"428","2017-03-22",2017,"Mar",12,84,0.8484195486859,0.400977412490777,-0.277926244251271,1.00968248962666,0.893623189053927,0.2794449871069,-0.916738235402716
"429","2017-03-29",2017,"Apr",13,91,1.95063183868301,2.00342834317864,-0.79292821172339,0.132785764082243,0.546306755100136,2.92382078123005,1.30146372467447
"430","2017-04-05",2017,"Apr",14,98,0.76339919838738,0.0672362544591952,-1.46416506051902,-1.05782391405167,0.829243929723634,-0.452276915690123,-0.846030507601321
"431","2017-04-12",2017,"Apr",15,105,0.839819857303095,0.269329013997538,-1.83933000759988,-1.77823314108824,0.663643170162763,0.341161564636185,-0.331792965221233
"432","2017-04-19",2017,"Apr",16,112,-0.14581990795228,-1.74645501422697,-0.612824911447841,-0.340949909527511,0.684654463957329,-1.00384007210728,-0.776670839379103
"433","2017-04-26",2017,"Apr",17,119,0.139177007260038,-1.7746873294514,-0.640781662513568,-0.409913013115917,0.740074292319244,-0.468837499461688,-0.264905065267841
"434","2017-05-03",2017,"May",18,126,-0.52748728289148,-1.08479719191505,-0.282584464097865,-0.0597119154611755,1.11018378469538,-0.992888341707514,-1.35151965873628
"435","2017-05-10",2017,"May",19,133,0.283091378767549,-0.169015843026602,-0.537095076296238,-0.653360580094622,0.996603955677868,-0.0593919238654122,-0.285392158893969
"436","2017-05-17",2017,"May",20,140,0.713434889642989,1.85888214701854,-0.832888565143698,-0.915511290320264,0.579470884335066,1.822636275378,0.769253415661284
"437","2017-05-24",2017,"May",21,147,1.99901683826843,0.619947084978334,-1.09101210795944,-0.925547909568162,0.0311822634490791,0.879284098600454,1.15535544452775
"438","2017-05-31",2017,"Jun",22,154,0.159706559306496,1.99087279960672,-1.34519294824574,-0.896697375489515,-0.387193804729246,2.17403674938123,0.814457560837787
"439","2017-06-07",2017,"Jun",23,161,1.20370201364593,-0.164464483570527,-0.0262317315726258,0.0517844531863479,0.511098523560051,0.0584843695646555,0.255204327696283
"440","2017-06-14",2017,"Jun",24,168,0.931383637313759,0.72230394165265,-0.416667463188773,-0.441166468815073,-0.211248262537149,1.44931015767329,0.783614957953875
"441","2017-06-21",2017,"Jun",25,175,1.06605695039613,1.49015813204752,-0.872736016325352,-0.861447837046048,-0.608827340398064,1.30440955116006,1.39028787768685
"442","2017-06-28",2017,"Jul",26,182,-2.4912525839361,-0.588937424366602,-0.449191383350943,-0.377045486331655,-0.221017984020764,-0.71900809228115,-2.23825481399801
"443","2017-07-05",2017,"Jul",27,189,1.28727054186793,0.572872664466138,0.00503275980004538,-0.296419259088779,-0.0511812990969744,0.330268342289393,0.527698617244193
"444","2017-07-12",2017,"Jul",28,196,0.205733662855092,-0.247314556988432,0.416608924661759,0.376742306391441,0.501554528974889,-0.194513778867891,-0.372626331824033
"445","2017-07-19",2017,"Jul",29,203,0.694788248675932,0.476835478719865,0.178955920260079,-0.258632272159286,0.018494581404415,-0.0558937992257539,0.183925164654924
"446","2017-07-26",2017,"Jul",30,210,-0.752966229953832,-1.26634849047015,1.27728804119891,1.42240283895224,1.06194637873636,-1.15482247460798,-1.9342038701048
"447","2017-08-02",2017,"Aug",31,217,0.352054563661588,0.582222327673058,1.09037752781745,1.07355050856548,0.990719997408915,0.0246766110361287,0.0132954738850077
"448","2017-08-09",2017,"Aug",32,224,0.311140680582836,-0.659784452952899,0.94914198883966,0.818945820534817,0.989809066818234,-0.441925457256632,-0.428330021933313
"449","2017-08-16",2017,"Aug",33,231,0.502286143929136,0.177352366026411,1.71844571112531,1.86693982115015,1.66532461373496,-0.372581282812882,0.427443758672624
"450","2017-08-23",2017,"Aug",34,238,0.649431391576996,-0.425887085937532,1.27026917754259,0.865414984749059,1.23755323435913,-0.330006885447593,0.832902596747986
"451","2017-08-30",2017,"Sep",35,245,0.396480664221241,0.396646042666613,1.21973729586898,0.977802677125353,1.11047161899031,0.375679977507048,0.455107163191489
"452","2017-09-06",2017,"Sep",36,252,-0.236714332700726,-0.522955355538017,0.662831879424689,0.430566770804663,0.78878822739697,-0.148135186859211,-0.517024814915336
"453","2017-09-13",2017,"Sep",37,259,-0.288467056962716,-1.05546115879705,0.666334831390827,0.587349294393898,0.928681591853149,-0.715879858187475,-0.249241734784245
"454","2017-09-20",2017,"Sep",38,266,0.0713256467001171,-0.625283246103049,0.906338060819206,0.854704830035349,0.988164987646231,-0.491893783025024,-0.0212186597895689
"455","2017-09-27",2017,"Sep",39,273,-0.911308608381117,0.266630199357459,0.445378480549158,0.196494468626647,0.640943532713474,-0.860157549796407,-1.13614883308405
"456","2017-10-04",2017,"Oct",40,280,-0.527687824586486,-1.03014058070695,1.50719206107921,1.72013544910178,1.02510750645265,-0.547517923895552,-0.73112772369497
"457","2017-10-11",2017,"Oct",41,287,-0.196479240926494,0.426875444791511,1.52939278211101,1.90771691241452,1.3907955955047,-0.121704522637451,-0.589232387447764
"458","2017-10-18",2017,"Oct",42,294,1.76709544261078,1.9320169079683,0.933776105954318,1.14978090661171,1.12887990544542,2.2876259210613,1.28715709642444
"459","2017-10-25",2017,"Oct",43,301,0.27416318482395,0.168467685322727,1.25957632612387,1.33460850168621,0.875406126880989,-0.198466704481824,-0.76646286207784
"460","2017-11-01",2017,"Nov",44,308,1.19708021536105,-0.216263350730052,1.17826345699399,1.39013610025986,0.993580034316286,0.0753904480771979,0.548938936724201
"461","2017-11-08",2017,"Nov",45,315,-0.690858861503501,-0.57007658634844,1.00763727819191,1.23855671798151,0.817614544346033,-0.860821386201336,-1.49444278936814
"462","2017-11-15",2017,"Nov",46,322,0.316424657978041,-0.969201282153112,0.832487745914366,1.03290577770813,0.684846405312189,-1.01034153834398,-0.775119683829215
"463","2017-11-22",2017,"Nov",47,329,0.582481247861592,0.647783433705861,0.862701952228921,1.17308835820526,0.496522357567388,0.410449944202793,-0.985666099919592
"464","2017-11-29",2017,"Dec",48,336,0.368099423873848,-0.76107095856183,0.835532203251944,1.2486955321335,0.414345229460922,-0.653786121306792,-1.14230047415759
"465","2017-12-06",2017,"Dec",49,343,0.773827286563777,-0.416927603221143,0.902231244397987,1.25747796066056,0.306851012173557,-0.356597158188845,-0.363633878231443
"466","2017-12-13",2017,"Dec",50,350,1.13674442391649,0.265320028657789,1.12743506462484,1.47176871201979,0.247566697023528,-0.272462115559467,-0.708670801102811
"467","2017-12-20",2017,"Dec",51,357,0.707134421194578,0.186723285090509,1.01531444496323,1.44748385589318,0.100680951401903,-0.800478944572046,-0.133631707128492
"468","2017-12-27",2017,"Dec",53,365,0.66125445836732,0.956753875801612,0.886158323022156,1.5811632524745,-0.129476249233509,0.487783681753886,-0.563535110822252
"469","2018-01-03",2018,"Jan",1,7,0.583487565594301,1.11369528029632,1.01299107195701,1.610982058321,-0.660885691327035,0.447415071829441,-0.616188138136062
"470","2018-01-10",2018,"Jan",2,14,0.995027822267633,0.184636666719064,0.748221867891916,1.48784451462976,-0.959000196983873,-0.57813573002765,-0.228261634754829
"471","2018-01-17",2018,"Jan",3,21,0.651009722952991,0.114676312649246,1.04963701043819,1.9957703675682,-0.889991771117263,-0.712041169983156,-0.614134870254177
"472","2018-01-24",2018,"Jan",4,28,0.691025901002073,1.46714006183887,1.22312025126552,2.04942663193891,-0.354329130537906,-0.207554775139919,-0.706040038242421
