"","day","mod_gpp","mod_gpp_unc95","mod_lai","mod_lai_unc95","mod_reco","mod_reco_unc95","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_reco","obs_reco_unc","date"
"102",714,0.254154444732362,0.274176382593063,0.563067317811783,0.609811305983654,1.85312242559267,1.98668737518329,350,2016,NA,2.116306013,NA,-9999,NA,1.147121965,2016-12-14
"103",721,0.32306891379271,0.350635236829237,0.520547541030549,0.564581079798499,1.71061382095937,1.83086005576491,357,2016,0.263751368,1.478868024,NA,-9999,1.96550774,1.046649833,2016-12-21
"104",728,0.275260049362954,0.298345141302601,0.489383237862127,0.533285915058068,1.79410953650664,1.92195312133601,366,2016,NA,-9999,NA,-9999,NA,2.459607099,2016-12-28
"105",735,0.271468544189516,0.295149977097104,0.462341433633675,0.504003512545169,1.56811241762403,1.68328027167775,7,2017,0.965231691,1.279152727,NA,-9999,1.386286387,1.000238427,2017-01-04
"106",742,0.24587987673298,0.267552046193154,0.444774575168353,0.48597813089688,1.66179525319544,1.78557286118701,14,2017,0.657047084,1.350702344,NA,-9999,1.390011198,1,2017-01-11
"107",749,0.368154237450444,0.3998775579086,0.430776810948954,0.47123340924375,1.60247630915548,1.71822146380004,21,2017,1.462916318,1.311878168,NA,-9999,2.032220958,1.000290909,2017-01-18
"108",756,0.422844288992637,0.459807839898214,0.422159528326486,0.461374592953974,1.65554586531551,1.77484503313641,28,2017,0.769311763,1.323795679,NA,-9999,3.045013185,1.000205628,2017-01-25
"109",763,0.337909391687546,0.366805201367335,0.416848613038831,0.455904494107685,1.78334135147087,1.91395330338814,35,2017,0.396256915,1.514643806,0.7,0.25,2.257827192,1.000022625,2017-02-01
"110",770,0.195558353206502,0.212905560986881,0.412007852803996,0.449921954326291,1.59594760510207,1.72260104689571,42,2017,NA,2.116306013,0.57,0.25,1.45462726,1.003321801,2017-02-08
"111",777,0.525643921179479,0.572782802020132,0.406352703838611,0.444478660434463,1.81871693302437,1.94590824774709,49,2017,NA,2.116306013,0.37,0.25,1.538750206,1.003315317,2017-02-15
"112",784,0.416784541854637,0.455505729940702,0.40672023693196,0.445285080757444,1.88525502532465,2.02091243598704,56,2017,0.549254893,1.51910041,0.51,0.25,1.728323328,1.000011313,2017-02-22
"113",791,0.633723424184615,0.69338129019518,0.40701232647557,0.446991751143258,1.99198778587139,2.12647988840442,63,2017,NA,2.116306013,NA,-9999,1.723179219,1.00007001,2017-03-01
"114",798,0.633281899687799,0.690678643110897,0.410405089091195,0.451855257664272,1.93806450028472,2.07148624444436,70,2017,NA,2.116306013,0.31,0.25,1.721124936,1,2017-03-08
"115",805,0.872181076320829,0.955560189772968,0.41514038042553,0.45626377099559,2.07536308301733,2.20760359572975,77,2017,NA,2.116306013,0.5,0.25,1.832834197,1.000161387,2017-03-15
"116",812,0.760383698566796,0.832984695614661,0.424583130401551,0.465076544416238,2.04633681557257,2.18178911589013,84,2017,NA,2.116306013,0.5,0.25,2.26766357,1.000087062,2017-03-22
"117",819,1.36816439294445,1.49069890758316,0.437602538148643,0.477508177285863,2.43256280898514,2.58530897030138,91,2017,1.330575795,1.413412942,NA,-9999,2.930664887,1.000370957,2017-03-29
"118",826,1.11408751047144,1.20638195616193,0.473195805960423,0.512124631708043,2.19327312620796,2.33042332451655,98,2017,1.851675707,1.487040789,0.8,0.25,2.634125808,1.000124387,2017-04-05
"119",833,1.41854697926634,1.50481268111707,0.548653541535883,0.582392451451634,2.2916495517384,2.42818854167857,105,2017,2.453340165,1.404713114,0.81,0.25,2.679760634,1.001489202,2017-04-12
"120",840,1.68915724662026,1.76093392924378,0.732974360374862,0.766775994040545,2.1780314114278,2.29542879909609,112,2017,2.056197627,1.395058383,0.68,0.25,2.159869616,1.000022625,2017-04-19
"121",847,2.87129184008196,2.97716462170992,1.13461919634999,1.18174555155218,2.5643159909901,2.68889401528066,119,2017,2.828937452,1.368423247,1.03,0.25,2.426700754,1,2017-04-26
"122",854,3.96685022672008,4.05199445009161,1.87178145197538,1.93126634867131,2.9419098180404,3.06349864513865,126,2017,2.286959433,1.392197363,1.1,0.25,3.806687869,1.000011313,2017-05-03
"123",861,6.98416051266936,7.07776487736854,2.92707727897137,3.00352492506695,3.86138188162379,4.00098244925456,133,2017,5.172766514,1.39640985,NA,-9999,3.780748056,1.00033094,2017-05-10
"124",868,8.9928235498994,9.07232340479617,4.04284513110162,4.13022656426103,4.61091150916749,4.78274979872213,140,2017,9.551184305,1.709067615,2.18,0.49,6.166331742,1.000422991,2017-05-17
"125",875,11.1285743930229,11.2096037664139,4.91054597643158,4.99669511085259,5.14749074562029,5.37283545778376,147,2017,11.5274408,1.431638135,4.81,1.05,6.38446228,1.000099949,2017-05-24
"126",882,10.8830407222045,10.9632524571067,5.499931137281,5.59864582987614,5.3010413704723,5.50957233189341,154,2017,13.86403823,1.500464659,5.15,1.04,6.226129749,1.001516369,2017-05-31
"127",889,12.4480570601516,12.54187511005,5.92930488059398,6.03174404952038,5.46902520262588,5.72543995873425,161,2017,14.54239288,1.55725611,4.97,1.11,5.247380112,1.000253402,2017-06-07
"128",896,12.8625198670635,12.9581728832669,6.28087629429191,6.38495677336606,5.66627396814121,5.9292426407859,168,2017,14.81332104,1.431143223,5.7,1.14,4.766756758,1.000142744,2017-06-14
"129",903,13.4476588710458,13.547012675797,6.58731181659311,6.69174761604068,5.9975875159178,6.27249309352735,175,2017,NA,2.116306013,NA,-9999,4.231419723,1.019892226,2017-06-21
"130",910,9.30497522105398,9.37309672782751,6.82987469584448,6.94026113366638,4.67684054961578,4.84883688311309,182,2017,10.96968946,1.580487743,6.17,1.24,4.699855934,1,2017-06-28
"131",917,14.0238224981856,14.1216401337239,6.92994120564868,7.03414612802817,6.06046635680324,6.37254647365124,189,2017,17.84495646,1.552513231,NA,-9999,5.722273003,1.000087993,2017-07-05
"132",924,11.6996661265695,11.7728969631731,6.98589104016833,7.09303118410164,5.3327620522312,5.56624048211465,196,2017,13.54281574,1.437751446,2.2,0.44,5.305123676,1.003328907,2017-07-12
"133",931,13.0563285959933,13.142359915761,6.9308374446871,7.03665280788305,5.84924110656062,6.12350536022618,203,2017,NA,2.116306013,NA,-9999,6.019946646,1.003475317,2017-07-19
"134",938,8.86860962426077,8.9102756543353,6.81301534533113,6.90646579727232,4.54567989563949,4.7129922041265,210,2017,11.22944853,1.57722749,NA,-9999,3.958809004,1.000153414,2017-07-26
"135",945,11.7513021530936,11.8206419593805,6.56219067548827,6.6816637842735,5.57713643556073,5.80204423586096,217,2017,14.04770679,1.329641098,NA,-9999,4.170832313,1,2017-08-02
"136",952,10.2489147015704,10.3098211326992,6.28728932978778,6.42941701476769,4.93900058550495,5.13707952199719,224,2017,15.19043836,1.429426428,5.57,1.35,3.679437635,1.000120118,2017-08-09
"137",959,10.7677938456725,10.8488840364371,5.92821706382517,6.09037721566303,5.19390298229846,5.40547772270604,231,2017,13.22857003,1.529312508,4.45,1.01,3.838725186,1.000281139,2017-08-16
