"","date","year","day","doy","mod_gpp_sim","mod_gpp_unc95_sim","mod_lai_sim","mod_lai_unc95_sim","mod_nee_sim","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc"
"107",2017-01-18,2017,749,21,0.0172252364521193,0.0222629524641254,0.0125618915705822,0.0162948205671308,-1.64578402311459,1.462916318,1.311878168,NA,-9999,1.384370528,0.71126967
"108",2017-01-25,2017,756,28,0.0168889255667047,0.0221107848122986,0.0107388415818226,0.0141207258176709,-1.70881686744453,0.769311763,1.323795679,NA,-9999,2.846992261,0.67540748
"109",2017-02-01,2017,763,35,0.00967448125574228,0.0128888974671846,0.00948652908428649,0.0126699477606037,-1.96318660738172,0.396256915,1.514643806,0.7,0.25,2.273377564,0.591255182
"110",2017-02-08,2017,770,42,0.0045317200121335,0.00610585604623065,0.00859719552183732,0.0115853200207631,-1.72369668120572,NA,2.116306013,0.57,0.25,1.547695997,0.674955896
"111",2017-02-15,2017,777,49,0.0145740743670873,0.0197786406002439,0.00795245576017149,0.0107212971337408,-1.93023931059976,NA,2.116306013,0.37,0.25,1.463267502,0.633340683
"112",2017-02-22,2017,784,56,0.00987110296951955,0.0132949424368216,0.00772583358610214,0.0104139764771464,-2.08994035896895,0.549254893,1.51910041,0.51,0.25,1.682760794,0.58565463
"113",2017-03-01,2017,791,63,0.0162196922982342,0.0216008152064596,0.00793624491357618,0.0105717004218161,-2.16432126865734,NA,2.116306013,NA,-9999,1.675694269,0.614159114
"114",2017-03-08,2017,798,70,0.0186007725636203,0.0242138135287629,0.00907300194378953,0.0118291694656999,-2.07545215763786,NA,2.116306013,0.31,0.25,1.751322051,0.58
"115",2017-03-15,2017,805,77,0.0355563417465627,0.0427132129407557,0.0124453731806031,0.0150245378006498,-2.17947919554887,NA,2.116306013,0.5,0.25,2.093337331,0.656074029
"116",2017-03-22,2017,812,84,0.0499064209176175,0.0586139688433404,0.0213077775211863,0.0252448760719929,-2.17021205906997,NA,2.116306013,0.5,0.25,2.36843796,0.622197128
"117",2017-03-29,2017,819,91,0.187044343361326,0.217867587000515,0.0433248073147592,0.0503882213679158,-2.44547565841245,1.330575795,1.413412942,NA,-9999,2.430235979,0.743340374
"118",2017-04-05,2017,826,98,0.303323577946341,0.344762583054972,0.0960534718157137,0.109253736692844,-2.06358252009303,1.851675707,1.487040789,0.8,0.25,1.046940389,0.639432298
"119",2017-04-12,2017,833,105,0.734114362163083,0.804969651245255,0.210735675317767,0.232117251500935,-1.75705726760144,2.453340165,1.404713114,0.81,0.25,0.970666261,0.644541721
"120",2017-04-19,2017,840,112,1.46550430288073,1.55348257108359,0.441060524596368,0.467965764831157,-0.87652392956941,2.056197627,1.395058383,0.68,0.25,0.70930815,0.591255182
"121",2017-04-26,2017,847,119,3.06488680452912,3.16218928259707,0.841199850838751,0.872632069007305,0.25508203276054,2.828937452,1.368423247,1.03,0.25,0.601543029,0.58
"122",2017-05-03,2017,854,126,4.12969919812099,4.20253820003997,1.43425242365028,1.46743140156118,0.937326914037675,2.286959433,1.392197363,1.1,0.25,1.764775064,0.58565463
"123",2017-05-10,2017,861,133,7.08570138882195,7.16629492427482,2.1281397548248,2.17376143902066,3.05561782337277,5.172766514,1.39640985,NA,-9999,0.301894812,0.727465337
"124",2017-05-17,2017,868,140,9.15222412913706,9.23991447346936,2.7797344954469,2.84318692486568,4.30002442764752,9.551184305,1.709067615,2.18,0.49,-2.892528972,0.763331498
"125",2017-05-24,2017,875,147,11.8926863604181,11.9832506013157,3.29245119778173,3.36079491809547,6.51444056105075,11.5274408,1.431638135,4.81,1.05,-4.467702291,0.628202147
"126",2017-05-31,2017,882,154,11.6061002370311,11.68834918225,3.69601369809665,3.76056116521498,5.90398486693161,13.86403823,1.500464659,5.15,1.04,-5.785892387,0.656729009
"127",2017-06-07,2017,889,161,13.9095168628122,13.9886987438848,4.02869297638906,4.09463876845146,8.15725350796474,14.54239288,1.55725611,4.97,1.11,-8.600842191,0.695671237
"128",2017-06-14,2017,896,168,14.4561433832602,14.5345039589433,4.34061578524334,4.40690710621947,8.43743469795312,14.81332104,1.431143223,5.7,1.14,-8.651015736,0.647692322
"129",2017-06-21,2017,903,175,15.3635439744733,15.4616156822081,4.63864781091881,4.70688819911628,8.8397477393241,NA,2.116306013,NA,-9999,-10.64402485,0.694785576
"130",2017-06-28,2017,910,182,9.98192432671848,10.0177324851875,4.91784817603972,4.99138987037215,4.99788970209566,10.96968946,1.580487743,6.17,1.24,-4.606442476,0.58565463
"131",2017-07-05,2017,917,189,16.3448375800372,16.4241365868827,5.09104716655955,5.16861081806868,9.7675738361823,17.84495646,1.552513231,NA,-9999,-10.57706169,0.632702108
"132",2017-07-12,2017,924,196,13.7282423710934,13.7900497845576,5.26849563175464,5.35191057697112,7.90940789890758,13.54281574,1.437751446,2.2,0.44,-8.572372952,0.639551208
"133",2017-07-19,2017,931,203,15.6570806980171,15.7301643588551,5.3684271484228,5.45692374785188,9.14273624685301,NA,2.116306013,NA,-9999,-10.524188,0.703278761
"134",2017-07-26,2017,938,210,10.090798539164,10.13429787221,5.43352239938811,5.52345393623647,5.10998091864757,11.22944853,1.57722749,NA,-9999,-6.351812449,0.652502182
"135",2017-08-02,2017,945,217,14.282209988838,14.3490911626908,5.37868655928583,5.46728081447538,7.94288429824624,14.04770679,1.329641098,NA,-9999,-7.78679493,0.58
"136",2017-08-09,2017,952,224,12.5358479479506,12.5908720134856,5.32069548677047,5.415740658078,6.99648457399621,15.19043836,1.429426428,5.57,1.35,-6.458485576,0.637471311
"137",2017-08-16,2017,959,231,13.3779661568341,13.447792769126,5.18477436608787,5.28221958013151,7.45181688771445,13.22857003,1.529312508,4.45,1.01,-7.450455874,0.7072007
"138",2017-08-23,2017,966,238,13.4173038855934,13.4957791221863,4.99680137753294,5.10237702611973,7.59944982132689,14.24385857,1.512009082,5.7,1.14,-9.194470327,0.668251275
"139",2017-08-30,2017,973,245,11.6978491019058,11.7819479045879,4.74459194384893,4.85154222525843,6.14963488218298,9.187128154,1.246905131,5.73,1.19,-5.983392204,0.645097548
"140",2017-09-06,2017,980,252,8.99978556780435,9.06136301354828,4.40208804291135,4.50545812832473,4.31205967559054,8.265497067,1.615697597,5.19,1.74,-4.287905265,0.698641753
"141",2017-09-13,2017,987,259,7.71368103504152,7.77514405079691,3.96472702377416,4.06088157638613,3.49180387344655,8.048573038,1.464973329,NA,-9999,-3.942169162,0.58
"142",2017-09-20,2017,994,266,7.46800120151425,7.54602553540448,3.46493585247851,3.55433109614167,3.28203644352012,7.084924979,1.175281257,5.03,2.16,-3.994428254,0.59390992
"143",2017-09-27,2017,1001,273,4.14271092205671,4.19369039940793,2.94053640118981,3.00877058267739,0.530559508661838,5.430123153,1.514432998,5.18,1.05,-2.233521216,0.722063927
"144",2017-10-04,2017,1008,280,3.39643805434209,3.44996584762805,2.38180867365752,2.43921838127671,0.175002354343774,3.111499175,1.189457529,3.53,1.21,-0.325353139,0.583063133
"145",2017-10-11,2017,1015,287,2.89629318914783,2.95652935284798,1.85262386295391,1.905687620391,-0.321982539824027,1.146781105,1.495869337,NA,-9999,-0.127321095,0.58
"146",2017-10-18,2017,1022,294,3.06929130159319,3.17199202014911,1.3864423638383,1.43932502033773,-0.469926645268386,NA,2.116306013,1.3,0.28,0.646548109,0.59634885
"147",2017-10-25,2017,1029,301,1.08781073169302,1.14015971517882,1.00842678690504,1.06090693020411,-1.64144500285412,NA,2.116306013,0.91,0.25,1.957436102,0.58
"148",2017-11-01,2017,1036,308,0.962495855273019,1.02688095009444,0.693581267132346,0.742064892732187,-1.56779223330035,0.767284196,1.514643806,0.3,0.25,2.095386864,0.606545395
